gene,max_assoc_score,top_disease
HLA-A,0.00275,deep vein thrombosis
CTNS,0.00275,pulmonary embolism
IKBKB,0.00259,deep vein thrombosis
TBXT,0.00259,deep vein thrombosis
TCFL5,0.00259,deep vein thrombosis
TBX21,0.00259,deep vein thrombosis
CLEC7A,0.00259,deep vein thrombosis
CCR5,0.00259,deep vein thrombosis
PANX1,0.00259,deep vein thrombosis
TGM2,0.00259,deep vein thrombosis
IGHG3,0.00259,thrombophilia
LRPPRC,0.00259,venous thromboembolism
CACNA1S,0.00259,thrombophilia
PDZK1IP1,0.00259,pulmonary embolism
TMX1,0.00222,deep vein thrombosis
NINJ1,0.00222,deep vein thrombosis
LINC00668,0.00222,deep vein thrombosis
GNAI1,0.00222,deep vein thrombosis
NT5C2,0.00222,deep vein thrombosis
SNRNP70,0.00222,deep vein thrombosis
DAO,0.00222,deep vein thrombosis
PROX1,0.00222,deep vein thrombosis
AGK,0.00222,deep vein thrombosis
MAPK9,0.00222,deep vein thrombosis
UCK2,0.00222,deep vein thrombosis
EFEMP1,0.00222,deep vein thrombosis
LITAF,0.00222,deep vein thrombosis
PRKACA,0.00222,deep vein thrombosis
DNMT3B,0.00222,deep vein thrombosis
FLVCR2,0.00222,deep vein thrombosis
KRT1,0.00222,deep vein thrombosis
BMPR2,0.00222,deep vein thrombosis
GATA1,0.00222,deep vein thrombosis
GPX2,0.00222,deep vein thrombosis
PIKFYVE,0.00222,deep vein thrombosis
CD86,0.00222,deep vein thrombosis
CYBA,0.00222,deep vein thrombosis
PANK1,0.00222,deep vein thrombosis
SLC24A4,0.00222,deep vein thrombosis
STN1,0.00222,deep vein thrombosis
LIPH,0.00222,deep vein thrombosis
DCD,0.00222,deep vein thrombosis
INSR,0.00222,deep vein thrombosis
ADGRV1,0.00222,deep vein thrombosis
NRG1,0.00222,deep vein thrombosis
STS,0.00222,deep vein thrombosis
SAA2,0.00222,deep vein thrombosis
ARRB2,0.00222,deep vein thrombosis
RAP1A,0.00222,deep vein thrombosis
TFF2,0.00222,deep vein thrombosis
MAP2K1,0.00222,deep vein thrombosis
RFXAP,0.00222,deep vein thrombosis
SKAP2,0.00222,deep vein thrombosis
CEBPB,0.00222,deep vein thrombosis
ELF3,0.00222,deep vein thrombosis
RAPGEF3,0.00222,deep vein thrombosis
XPR1,0.00222,deep vein thrombosis
SERPINI1,0.00222,deep vein thrombosis
XBP1,0.00222,deep vein thrombosis
NPC1,0.00222,deep vein thrombosis
HPS3,0.00222,deep vein thrombosis
FPR1,0.00222,deep vein thrombosis
ATRX,0.00222,deep vein thrombosis
CCN3,0.00222,deep vein thrombosis
PSMB6,0.00222,deep vein thrombosis
FTH1P8,0.00222,deep vein thrombosis
GGTLC1,0.00222,deep vein thrombosis
TAF1,0.00222,deep vein thrombosis
CD80,0.00222,deep vein thrombosis
BMP2,0.00222,deep vein thrombosis
PML,0.00222,deep vein thrombosis
F11R,0.00222,deep vein thrombosis
RARA,0.00222,deep vein thrombosis
FTL,0.00222,deep vein thrombosis
SETBP1,0.00222,deep vein thrombosis
TAP2,0.00222,deep vein thrombosis
OSM,0.00222,deep vein thrombosis
THSD7A,0.00222,deep vein thrombosis
CXCL9,0.00222,deep vein thrombosis
AKT2,0.00222,deep vein thrombosis
FAM177B,0.00222,deep vein thrombosis
HBE1,0.00222,deep vein thrombosis
RAG2,0.00222,deep vein thrombosis
PAOX,0.00222,deep vein thrombosis
UBA1,0.00222,deep vein thrombosis
GPRIN1,0.00222,deep vein thrombosis
BCRP3,0.00222,deep vein thrombosis
COMP,0.00222,deep vein thrombosis
PORCN,0.00222,deep vein thrombosis
YWHAZ,0.00222,deep vein thrombosis
AP1M2,0.00222,deep vein thrombosis
CD69,0.00222,deep vein thrombosis
MYLK,0.00222,deep vein thrombosis
HDAC1,0.00222,deep vein thrombosis
GBE1,0.00222,deep vein thrombosis
HOTAIR,0.00222,deep vein thrombosis
FUT8,0.00222,deep vein thrombosis
MAP4,0.00222,deep vein thrombosis
NBEAL2,0.00222,deep vein thrombosis
PTN,0.00222,deep vein thrombosis
PAFAH1B2,0.00222,deep vein thrombosis
ADTRP,0.00222,deep vein thrombosis
RIPK2,0.00222,deep vein thrombosis
LINC01123,0.00222,venous thromboembolism
COMT,0.00222,pulmonary embolism
AXL,0.00222,thrombophilia
SV2C,0.00222,venous thromboembolism
PTF1A,0.00222,venous thromboembolism
PROS2P,0.00222,venous thromboembolism
TTN,0.00222,venous thromboembolism
HR,0.00222,venous thromboembolism
SCEL,0.00222,venous thromboembolism
MIAT,0.00222,venous thromboembolism
SCD,0.00222,venous thromboembolism
ZC3H12A,0.00222,venous thromboembolism
S100A12,0.00222,venous thromboembolism
H19,0.00222,thrombophilia
H2AJ,0.00222,thrombophilia
SERPINF1,0.00222,thrombophilia
SERPINA13P,0.00222,thrombophilia
ADAMTSL4,0.00222,thrombophilia
CNOT1,0.00222,thrombophilia
ADAMTS17,0.00222,thrombophilia
CHL1,0.00222,thrombophilia
ADAMTSL2,0.00222,thrombophilia
HAUS3,0.00222,thrombophilia
PPL,0.00222,thrombophilia
CPP,0.00222,thrombophilia
MLANA,0.00222,thrombophilia
TSR1,0.00222,thrombophilia
GAST,0.00222,thrombophilia
KLF7,0.00222,thrombophilia
DCXR,0.00222,thrombophilia
TTPA,0.00222,thrombophilia
THBS4,0.00222,thrombophilia
ADAMTS20,0.00222,thrombophilia
ADAMTS18,0.00222,thrombotic disease
MAP4K3,0.00222,thrombotic disease
SLIT2,0.00222,thrombotic disease
BID,0.00222,thrombotic disease
GNAQ,0.00222,thrombotic disease
METTL3,0.00222,thrombotic disease
CD226,0.00222,thrombotic disease
TNFSF12,0.00222,thrombotic disease
VCL,0.00222,thrombotic disease
SLC44A3,0.00222,thrombotic disease
NR1I2,0.00222,thrombotic disease
HDAC3,0.00222,thrombotic disease
DIDO1,0.00222,thrombotic disease
FMOD,0.00222,thrombotic disease
GFAP,0.00222,thrombotic disease
PDE4A,0.00222,thrombotic disease
MAP2K3,0.00222,thrombotic disease
KCNK3,0.00222,pulmonary embolism
MMP16,0.00222,pulmonary embolism
SFXN1,0.00222,pulmonary embolism
MMP20,0.00222,pulmonary embolism
NEU1,0.00222,pulmonary embolism
LIPC,0.00222,pulmonary embolism
ERCC6L,0.00222,pulmonary embolism
KCNA3,0.00222,pulmonary embolism
NPY,0.00222,pulmonary embolism
MST1,0.00222,pulmonary embolism
CBLN2,0.00222,pulmonary embolism
CDA,0.00222,pulmonary embolism
SLPI,0.00222,pulmonary embolism
HDAC9,0.00201,deep vein thrombosis
CASR,0.00201,thrombophilia
PIN1,0.00185,deep vein thrombosis
EMILIN1,0.00185,deep vein thrombosis
NPM1,0.00185,deep vein thrombosis
ABCA1,0.00185,deep vein thrombosis
TIMP2,0.00185,deep vein thrombosis
KLF4,0.00185,deep vein thrombosis
MC4R,0.00185,thrombophilia
DNAH8,0.00185,thrombophilia
ADRB2,0.00185,pulmonary embolism
DSG2,0.00185,thrombophilia
SLC7A5,0.00185,thrombophilia
ACOX1,0.00185,thrombophilia
PLOD2,0.00185,thrombophilia
OTC,0.00185,thrombophilia
ACTN3,0.00185,thrombophilia
SURF1,0.00185,thrombophilia
NEK4,0.00185,thrombophilia
GLI1,0.00185,thrombophilia
HEXB,0.00185,thrombophilia
GM2A,0.00185,thrombophilia
TPMT,0.00185,thrombophilia
DHCR7-DT,0.00185,thrombophilia
EIF2A,0.00185,thrombophilia
CUL7,0.00185,thrombophilia
PDCD2,0.00185,thrombophilia
CLN6,0.00185,thrombophilia
MYT1L,0.00185,thrombophilia
TNXB,0.00185,thrombophilia
LYST,0.00185,thrombophilia
PPT1,0.00185,thrombophilia
CLN5,0.00185,thrombophilia
WNT5A,0.00148,deep vein thrombosis
PPIP5K1,0.00148,deep vein thrombosis
CYP3A7,0.00148,deep vein thrombosis
THSD7B,0.00148,deep vein thrombosis
MAP2,0.00148,deep vein thrombosis
PLD2,0.00148,deep vein thrombosis
PDCD10,0.00148,deep vein thrombosis
EIF2AK3,0.00148,deep vein thrombosis
AKT3,0.00148,deep vein thrombosis
BGN,0.00148,deep vein thrombosis
SOD3,0.00148,deep vein thrombosis
UXT,0.00148,deep vein thrombosis
PSG2,0.00148,deep vein thrombosis
CR2,0.00148,deep vein thrombosis
SERPINB5,0.00148,deep vein thrombosis
ASAP1,0.00148,deep vein thrombosis
SPINK1,0.00148,deep vein thrombosis
CCL27,0.00148,deep vein thrombosis
RHOH,0.00148,deep vein thrombosis
PIK3C3,0.00148,deep vein thrombosis
SERBP1,0.00148,deep vein thrombosis
IFITM3,0.00148,deep vein thrombosis
SPARC,0.00148,deep vein thrombosis
F2RL2,0.00148,deep vein thrombosis
MYH11,0.00148,deep vein thrombosis
COG2,0.00148,deep vein thrombosis
CDKN2B-AS1,0.00148,deep vein thrombosis
PIM1,0.00148,deep vein thrombosis
TIMP4,0.00148,deep vein thrombosis
TMEM242,0.00148,deep vein thrombosis
ATG7,0.00148,deep vein thrombosis
RBMS1,0.00148,deep vein thrombosis
GABARAPL1,0.00148,deep vein thrombosis
ADAM10,0.00148,deep vein thrombosis
SNAI1,0.00148,deep vein thrombosis
FDX1,0.00148,deep vein thrombosis
MANEA,0.00148,deep vein thrombosis
HRH1,0.00148,deep vein thrombosis
FFAR4,0.00148,deep vein thrombosis
DKK1,0.00148,deep vein thrombosis
PTGER2,0.00148,deep vein thrombosis
BNIP3L,0.00148,deep vein thrombosis
ALDH1A2,0.00148,deep vein thrombosis
GPR34,0.00148,deep vein thrombosis
CIC,0.00148,deep vein thrombosis
CHRNA3,0.00148,deep vein thrombosis
ITIH4,0.00148,deep vein thrombosis
MYBBP1A,0.00148,deep vein thrombosis
CLEC4D,0.00148,deep vein thrombosis
COMMD7,0.00148,deep vein thrombosis
APEH,0.00148,deep vein thrombosis
KLF16,0.00148,deep vein thrombosis
PPP1R13B-DT,0.00148,deep vein thrombosis
SBSN,0.00148,deep vein thrombosis
NAAA,0.00148,deep vein thrombosis
MOG,0.00148,deep vein thrombosis
TMEM18,0.00148,deep vein thrombosis
ADAM17,0.00148,deep vein thrombosis
OLFM4,0.00148,deep vein thrombosis
THBS3,0.00148,deep vein thrombosis
FGF12,0.00148,deep vein thrombosis
COX7A2L,0.00148,deep vein thrombosis
TKT,0.00148,deep vein thrombosis
DEFA3,0.00148,deep vein thrombosis
VEGFC,0.00148,deep vein thrombosis
TNFRSF10A,0.00148,deep vein thrombosis
WNT2,0.00148,deep vein thrombosis
ESRRA,0.00148,deep vein thrombosis
MGLL,0.00148,deep vein thrombosis
CGAS,0.00148,deep vein thrombosis
TREML1,0.00148,deep vein thrombosis
CYP2R1,0.00148,deep vein thrombosis
P4HTM,0.00148,deep vein thrombosis
PRDM9,0.00148,deep vein thrombosis
CNN1,0.00148,deep vein thrombosis
CYP27A1,0.00148,deep vein thrombosis
DYNLT1,0.00148,deep vein thrombosis
CGA,0.00148,deep vein thrombosis
CH25H,0.00148,deep vein thrombosis
DHX58,0.00148,deep vein thrombosis
GIP,0.00148,deep vein thrombosis
CYP27B1,0.00148,deep vein thrombosis
CEACAM6,0.00148,deep vein thrombosis
HSPA6,0.00148,deep vein thrombosis
LMAN1,0.00148,deep vein thrombosis
DEFA4,0.00148,deep vein thrombosis
TCF21,0.00148,deep vein thrombosis
EPHX1,0.00148,deep vein thrombosis
CRISP3,0.00148,deep vein thrombosis
TNFSF13,0.00148,deep vein thrombosis
GPR149,0.00148,deep vein thrombosis
ACP3,0.00148,deep vein thrombosis
SLC7A4,0.00148,deep vein thrombosis
ATP2B1,0.00148,deep vein thrombosis
ERCC2,0.00148,deep vein thrombosis
RTN4R,0.00148,deep vein thrombosis
TNFSF11,0.00148,deep vein thrombosis
NLRP1,0.00148,deep vein thrombosis
CCL26,0.00148,deep vein thrombosis
STAT2,0.00148,deep vein thrombosis
HK2,0.00148,deep vein thrombosis
RFC2,0.00148,deep vein thrombosis
ZFP64,0.00148,deep vein thrombosis
KDM1A,0.00148,deep vein thrombosis
HLA-DPA1,0.00148,deep vein thrombosis
DNASE1L3,0.00148,deep vein thrombosis
CD3G,0.00148,deep vein thrombosis
CPA1,0.00148,venous thromboembolism
IL4I1,0.00148,venous thromboembolism
ZFP41,0.00148,venous thromboembolism
OTUD7A,0.00148,venous thromboembolism
HPS5,0.00148,venous thromboembolism
SUSD1,0.00148,venous thromboembolism
STRN,0.00148,venous thromboembolism
KYAT3,0.00148,venous thromboembolism
PLEKHH2,0.00148,venous thromboembolism
FURIN,0.00148,venous thromboembolism
SAMSN1,0.00148,venous thromboembolism
PRLR,0.00148,venous thromboembolism
P2RY13,0.00148,venous thromboembolism
PTCH1,0.00148,venous thromboembolism
TM6SF2,0.00148,venous thromboembolism
CTU1,0.00148,venous thromboembolism
KYAT1,0.00148,venous thromboembolism
PON2,0.00148,venous thromboembolism
NAT1,0.00148,venous thromboembolism
BHLHE41,0.00148,venous thromboembolism
ADK,0.00148,venous thromboembolism
CCDC93,0.00148,venous thromboembolism
SHC4,0.00148,venous thromboembolism
MIR3614,0.00148,thrombophilia
UBE2I,0.00148,thrombophilia
RNF126P1,0.00148,thrombophilia
ATP5MK,0.00148,thrombophilia
PCTP,0.00148,thrombophilia
TRIM25,0.00148,thrombophilia
CLDN3,0.00148,thrombophilia
FASN,0.00148,thrombophilia
COIL,0.00148,thrombophilia
CD24,0.00148,thrombophilia
KCNJ2,0.00148,thrombophilia
SCPEP1,0.00148,thrombophilia
ADAMTS7,0.00148,thrombophilia
POLR2F,0.00148,thrombophilia
ACKR5,0.00148,thrombophilia
C17orf67,0.00148,thrombophilia
FSHR,0.00148,thrombophilia
PRDM16,0.00148,thrombophilia
HMBS,0.00148,thrombophilia
SLC35A2,0.00148,thrombophilia
MAF,0.00148,thrombophilia
SLCO1B3,0.00148,thrombophilia
ANXA11,0.00148,thrombophilia
GJA4,0.00148,thrombophilia
RPS27A,0.00148,thrombophilia
HLA-P,0.00148,thrombophilia
HSPA8,0.00148,thrombophilia
ADA2,0.00148,thrombophilia
KRT88P,0.00148,thrombophilia
SRSF1,0.00148,thrombophilia
FLVCR1,0.00148,thrombophilia
UTRN,0.00148,thrombophilia
SCN4A,0.00148,thrombophilia
NOG,0.00148,thrombophilia
ANKFN1,0.00148,thrombophilia
RASA1,0.00148,thrombophilia
MEF2A,0.00148,thrombophilia
G6PC1,0.00148,thrombophilia
OXT,0.00148,thrombophilia
TMEM100,0.00148,thrombophilia
LGI1,0.00148,thrombophilia
B3GAT1,0.00148,thrombophilia
MPZ,0.00148,thrombophilia
CHD7,0.00148,thrombophilia
COX5A,0.00148,thrombophilia
AKAP1,0.00148,thrombophilia
ONECUT1,0.00148,thrombophilia
DSG3,0.00148,thrombophilia
PMP22,0.00148,thrombophilia
STMN1,0.00148,thrombophilia
HAS1,0.00148,thrombotic disease
PLA2G4A,0.00148,thrombotic disease
GFRAL,0.00148,thrombotic disease
UTS2,0.00148,thrombotic disease
PIMREG,0.00148,thrombotic disease
PNMA1,0.00148,thrombotic disease
RHOG,0.00148,thrombotic disease
ACKR2,0.00148,thrombotic disease
AOC3,0.00148,thrombotic disease
OR2L13,0.00148,thrombotic disease
HTRA2,0.00148,thrombotic disease
NUCB2,0.00148,thrombotic disease
NFKBIZ,0.00148,thrombotic disease
ENHO,0.00148,thrombotic disease
IL12B,0.00148,pulmonary embolism
CUBN,0.00148,pulmonary embolism
SLC16A3,0.00148,pulmonary embolism
ARID3A,0.00148,pulmonary embolism
NTN1,0.00148,pulmonary embolism
PAPPA2,0.00148,pulmonary embolism
LYPD3,0.00148,pulmonary embolism
EPHB3,0.00148,pulmonary embolism
RNASEL,0.00148,pulmonary embolism
ABLIM2,0.00148,pulmonary embolism
CRTAC1,0.00148,pulmonary embolism
CD200R1,0.00148,pulmonary embolism
MT-ND6,0,venous thromboembolism
MT-CO3,0,venous thromboembolism
